mes_referencia;nome_municipio;total_repasses;n_favorecidos;media_repasses
2023-03-01;Osasco (SP);29468695.0;44918;655.8363563527919
2023-03-01;Ribeirão Preto (SP);14785673.0;22507;655.9457433121867
2023-03-01;Santo André (SP);25494016.0;39400;646.3672227574666
2023-03-01;Sorocaba (SP);20651223.0;31303;659.2358743535721
2023-03-01;São Bernardo do Campo (SP);27116756.0;42124;643.4157314034879
2023-03-01;São José dos Campos (SP);29462717.0;45428;648.2160741001496
2023-04-01;Osasco (SP);28552980.0;43614;654.6596354465207
2023-04-01;Ribeirão Preto (SP);14582992.0;22254;655.2681195237026
2023-04-01;Santo André (SP);24855977.0;38561;644.5550657365869
2023-04-01;Sorocaba (SP);20147555.0;30597;658.4598666579515
2023-04-01;São Bernardo do Campo (SP);26548709.0;41411;641.071861492768
2023-04-01;São José dos Campos (SP);29018426.0;44785;647.9496706486547
2023-05-01;Osasco (SP);29520256.0;45017;655.743391532276
2023-05-01;Ribeirão Preto (SP);14698420.0;22385;656.5605038638496
2023-05-01;Santo André (SP);24994267.0;38722;645.4464156595393
2023-05-01;Sorocaba (SP);20223366.0;30690;658.9562072336266
2023-05-01;São Bernardo do Campo (SP);26812873.0;41599;644.5402163461539
2023-05-01;São José dos Campos (SP);29165227.0;44957;648.7360589007274
2023-06-01;Osasco (SP);31530643.0;45515;692.7071268509161
2023-06-01;Ribeirão Preto (SP);15708772.0;22657;693.2991437902728
2023-06-01;Santo André (SP);26387956.0;39111;674.6939735624248
2023-06-01;Sorocaba (SP);21480023.0;31134;689.9217254448513
2023-06-01;São Bernardo do Campo (SP);28479506.0;42164;675.4460203016791
2023-06-01;São José dos Campos (SP);30466747.0;45253;673.2090109598727
2023-07-01;Osasco (SP);28994251.0;44035;658.3916390390118
2023-07-01;Ribeirão Preto (SP);14510393.0;22224;652.88607424072
2023-07-01;Santo André (SP);24644216.0;38121;646.439577158146
2023-07-01;Sorocaba (SP);20133978.0;30562;658.7481350608559
2023-07-01;São Bernardo do Campo (SP);26207288.0;41055;638.299186516635
2023-07-01;São José dos Campos (SP);28586880.0;44374;644.2258980484067
2023-08-01;Osasco (SP);31177890.0;46753;666.84968131069
2023-08-01;Ribeirão Preto (SP);16123873.0;24308;663.2882060142334
2023-08-01;Santo André (SP);24404417.0;37615;648.794815897913
2023-08-01;Sorocaba (SP);20043622.0;30284;661.8114640427921
2023-08-01;São Bernardo do Campo (SP);27624187.0;42862;644.4762849077292
2023-08-01;São José dos Campos (SP);28450831.0;44047;645.9198356301224
2023-09-01;Osasco (SP);31805839.0;47449;669.1317400542781
2023-09-01;Ribeirão Preto (SP);16849768.0;25152;664.8162556717301
2023-09-01;Santo André (SP);25805517.0;39331;650.7998839907193
2023-09-01;Sorocaba (SP);22992766.0;34172;669.2308990889775
2023-09-01;São Bernardo do Campo (SP);28597491.0;44099;647.6174419131302
2023-09-01;São José dos Campos (SP);28435436.0;43889;643.5686221256564
2023-10-01;Osasco (SP);31784683.0;47161;673.7897314141564
2023-10-01;Ribeirão Preto (SP);17082837.0;25463;670.1517006002118
2023-10-01;Santo André (SP);25384661.0;38589;657.1570104587346
2023-10-01;Sorocaba (SP);22858906.0;33973;672.538350642855
2023-10-01;São Bernardo do Campo (SP);28521369.0;43813;650.7271047227927
2023-10-01;São José dos Campos (SP);28137483.0;43368;648.3291013824885
2023-11-01;Osasco (SP);30828125.0;46740;658.6361791223347
2023-11-01;Ribeirão Preto (SP);16673672.0;25438;651.1881273188831
2023-11-01;Santo André (SP);25066420.0;38754;643.4546668035732
2023-11-01;Sorocaba (SP);22710127.0;34296;658.3027132007653
2023-11-01;São Bernardo do Campo (SP);27391499.0;43028;635.4746427245731
2023-11-01;São José dos Campos (SP);27042932.0;42422;633.8137670799447
2023-12-01;Osasco (SP);31186584.0;47259;659.3358139534884
2023-12-01;Ribeirão Preto (SP);16943245.0;25829;651.8136877741017
2023-12-01;Santo André (SP);25352785.0;39196;643.5533697169692
2023-12-01;Sorocaba (SP);22658664.0;34267;657.7260957910014
2023-12-01;São Bernardo do Campo (SP);27699004.0;43512;635.531479441997
2023-12-01;São José dos Campos (SP);27000284.0;42398;633.2149155722326
2024-01-01;Osasco (SP);30993018.0;46806;661.5936899628571
2024-01-01;Ribeirão Preto (SP);17127597.0;25939;656.9597253653485
2024-01-01;Santo André (SP);25680774.0;39568;646.5940025681698
2024-01-01;Sorocaba (SP);22458873.0;33857;660.8271935502854
2024-01-01;São Bernardo do Campo (SP);27545799.0;43155;637.2507055938555
2024-01-01;São José dos Campos (SP);26909806.0;42110;636.0453342157512
2024-02-01;Osasco (SP);31516341.0;47344;665.6178799974656
2024-02-01;Ribeirão Preto (SP);17140248.0;25907;661.1984723990279
2024-02-01;Santo André (SP);25379269.0;39009;650.4669503037138
2024-02-01;Sorocaba (SP);22336290.0;33630;661.8748333185172
2024-02-01;São Bernardo do Campo (SP);27932577.0;43606;640.4497867657175
2024-02-01;São José dos Campos (SP);26642568.0;41610;639.9694458456439
2024-03-01;Osasco (SP);29947911.0;45943;650.7161853855681
2024-03-01;Ribeirão Preto (SP);15986779.0;24700;645.0183175307645
2024-03-01;Santo André (SP);24044793.0;37573;638.2839053914151
2024-03-01;Sorocaba (SP);21144566.0;32406;650.2418967956208
2024-03-01;São Bernardo do Campo (SP);26226674.0;41635;628.2439994250947
2024-03-01;São José dos Campos (SP);25519381.0;40400;629.9992840743575
2024-04-01;Osasco (SP);29587589.0;45256;653.5660577411588
2024-04-01;Ribeirão Preto (SP);15968490.0;24652;647.7300937005638
2024-04-01;Santo André (SP);23891500.0;37241;641.4514310261504
2024-04-01;Sorocaba (SP);21091379.0;32331;652.196388261851
2024-04-01;São Bernardo do Campo (SP);25971813.0;41192;630.3838106796117
2024-04-01;São José dos Campos (SP);25430281.0;40230;632.0908977928018
2024-05-01;Osasco (SP);30572657.0;46542;656.389569959422
2024-05-01;Ribeirão Preto (SP);16241209.0;24915;649.8563140204866
2024-05-01;Santo André (SP);24001548.0;37259;642.9387908172832
2024-05-01;Sorocaba (SP);21034871.0;32156;651.6177008147207
2024-05-01;São Bernardo do Campo (SP);25837753.0;40826;631.4365698086464
2024-05-01;São José dos Campos (SP);25258922.0;39768;633.9295269168026
2024-06-01;Osasco (SP);31536909.0;47668;661.4423331026238
2024-06-01;Ribeirão Preto (SP);16207433.0;24793;653.6573099415205
2024-06-01;Santo André (SP);23807924.0;36816;646.6381661144005
2024-06-01;Sorocaba (SP);20823863.0;31759;655.6219066809394
2024-06-01;São Bernardo do Campo (SP);26833762.0;42097;637.3058306614416
2024-06-01;São José dos Campos (SP);25073978.0;39377;636.7670975442517
2024-07-01;Osasco (SP);30034602.0;45998;651.8067232361814
2024-07-01;Ribeirão Preto (SP);15493723.0;24062;639.5229702398151
2024-07-01;Santo André (SP);24073402.0;37402;641.2733617474694
2024-07-01;Sorocaba (SP);21289171.0;32612;649.3372476056853
2024-07-01;São Bernardo do Campo (SP);25948782.0;41232;625.8600130242879
2024-07-01;São José dos Campos (SP);24129048.0;38251;628.6553071752384
2024-08-01;Osasco (SP);29819755.0;45556;654.5017668620092
2024-08-01;Ribeirão Preto (SP);15529087.0;24087;644.5744230449942
2024-08-01;Santo André (SP);24005328.0;37210;645.0790852659017
2024-08-01;Sorocaba (SP);21185313.0;32440;652.9809209715202
2024-08-01;São Bernardo do Campo (SP);25889560.0;41061;630.4378317829835
2024-08-01;São José dos Campos (SP);23983945.0;37947;632.021318646569
2024-09-01;Osasco (SP);29782719.0;45381;655.2709291324724
2024-09-01;Ribeirão Preto (SP);15501531.0;23952;643.5107725517871
2024-09-01;Santo André (SP);23926914.0;36998;643.2311952255498
2024-09-01;Sorocaba (SP);20964501.0;32005;651.7191308132305
2024-09-01;São Bernardo do Campo (SP);25770854.0;40769;628.5727456767238
2024-09-01;São José dos Campos (SP);23963401.0;37831;630.516260590433
2024-10-01;Osasco (SP);28539516.0;43980;648.8760657526772
2024-10-01;Ribeirão Preto (SP);15016253.0;23491;639.1526772793054
2024-10-01;Santo André (SP);23919171.0;37185;643.1267745751775
2024-10-01;Sorocaba (SP);20991944.0;32189;652.0047210833644
2024-10-01;São Bernardo do Campo (SP);25385703.0;40478;626.9777717404727
2024-10-01;São José dos Campos (SP);23280886.0;37015;628.9581521004998
2024-11-01;Osasco (SP);29109872.0;43645;665.8250686184813
2024-11-01;Ribeirão Preto (SP);15424952.0;23306;657.7524199394483
2024-11-01;Santo André (SP);24197031.0;36791;654.787871407696
2024-11-01;Sorocaba (SP);21696009.0;32331;668.3303761205065
2024-11-01;São Bernardo do Campo (SP);25812015.0;40279;637.9637913989125
2024-11-01;São José dos Campos (SP);23820747.0;36371;651.1959267359213
2024-12-01;Osasco (SP);29030188.0;43447;668.143984901839
2024-12-01;Ribeirão Preto (SP);15291018.0;23036;663.7302717249761
2024-12-01;Santo André (SP);24730229.0;37461;660.1593390459411
2024-12-01;Sorocaba (SP);21818805.0;32420;672.9422015236098
2024-12-01;São Bernardo do Campo (SP);26366591.0;41002;643.024851234026
2024-12-01;São José dos Campos (SP);23773104.0;36233;656.117461982171
2025-01-01;Osasco (SP);28167760.0;42591;661.3392186326071
2025-01-01;Ribeirão Preto (SP);15100435.0;22924;658.6885496183206
2025-01-01;Santo André (SP);24523565.0;37501;653.9442948188048
2025-01-01;Sorocaba (SP);21261175.0;31777;669.0743304906064
2025-01-01;São Bernardo do Campo (SP);25883586.0;40739;635.3515304744839
2025-01-01;São José dos Campos (SP);23255984.0;35737;650.7536726641856
2025-02-01;Osasco (SP);27937614.0;42267;660.963707769471
2025-02-01;Ribeirão Preto (SP);15107261.0;22925;658.9575591032016
2025-02-01;Santo André (SP);24563570.0;37526;654.5746948782178
2025-02-01;Sorocaba (SP);21221377.0;31746;668.474043974044
2025-02-01;São Bernardo do Campo (SP);25849853.0;40634;636.1631392429985
2025-02-01;São José dos Campos (SP);23142298.0;35569;650.6311113610166
2025-03-01;Osasco (SP);26940150.0;41132;654.7612103536275
2025-03-01;Ribeirão Preto (SP);14277108.0;21910;651.4765229295003
2025-03-01;Santo André (SP);23868565.0;36779;648.461339926103
2025-03-01;Sorocaba (SP);20553561.0;31061;661.4178921962992
2025-03-01;São Bernardo do Campo (SP);24972651.0;39603;630.3518943887725
2025-03-01;São José dos Campos (SP);23613199.0;36313;650.0178654994908
2025-04-01;Osasco (SP);26933971.0;41094;655.4074948290546
2025-04-01;Ribeirão Preto (SP);14422722.0;22070;653.4693489193965
2025-04-01;Santo André (SP);23947238.0;36853;649.8043035845114
2025-04-01;Sorocaba (SP);20567520.0;31074;661.8883954431358
2025-04-01;São Bernardo do Campo (SP);25051086.0;39687;631.2164184745635
2025-04-01;São José dos Campos (SP);23654793.0;36340;650.9120002201371
2025-05-01;Osasco (SP);26787807.0;40924;654.5425157601525
2025-05-01;Ribeirão Preto (SP);14383233.0;22056;652.0938024210002
2025-05-01;Santo André (SP);23876596.0;36784;649.1027620704655
2025-05-01;Sorocaba (SP);20443531.0;30941;660.6835471673722
2025-05-01;São Bernardo do Campo (SP);24911502.0;39532;630.1604269958515
2025-05-01;São José dos Campos (SP);23518180.0;36178;650.0685499474819
2025-06-01;Osasco (SP);25162563.0;38107;660.2960795633463
2025-06-01;Ribeirão Preto (SP);13461495.0;20449;658.2638141809291
2025-06-01;Santo André (SP);22287610.0;34105;653.4997800908958
2025-06-01;Sorocaba (SP);19452440.0;29241;665.2453746451899
2025-06-01;São Bernardo do Campo (SP);23101782.0;36436;634.0372708310463
2025-06-01;São José dos Campos (SP);21912691.0;33477;654.5595782178809
